"原始错误码或精确诊断","原始来源与原文","中文解释","英文解释","解决方向","真实原因判定","按钮约束"
"ZEUS_MODEL_HTTP_403","[]","模型服务不允许访问模型目录。请检查账号权限和服务设置。","The model service denied access to its catalog. Check account permissions and service settings.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_HTTP_404","[]","模型服务找不到目录接口。请检查服务地址和模型目录路径，或手动添加模型。","The model service could not find the catalog endpoint. Check the service address and catalog path, or add models manually.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_HTTP_429","[]","模型服务暂时限制了目录请求。请稍后再读取模型列表。","The model service temporarily limited catalog requests. Load the model list later.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_HTTP_500","[]","模型服务处理目录请求时发生错误，暂时无法读取模型列表。","The model service encountered an error handling the catalog request. The model list cannot be loaded yet.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_HTTP_502","[]","模型服务处理目录请求时发生错误，暂时无法读取模型列表。","The model service encountered an error handling the catalog request. The model list cannot be loaded yet.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_HTTP_503","[]","模型服务处理目录请求时发生错误，暂时无法读取模型列表。","The model service encountered an error handling the catalog request. The model list cannot be loaded yet.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_MODEL_HTTP_504","[]","模型服务处理目录请求时发生错误，暂时无法读取模型列表。","The model service encountered an error handling the catalog request. The model list cannot be loaded yet.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_IM_TASK_EDIT_FIELD_INVALID","[{""file"":""packages/local-server/src/imTelegramService.ts"",""line"":1482,""value"":""用法：/task edit <任务> title|description <内容>""}]","只能修改任务标题或描述。用法：/task edit <任务> title|description <内容>","Only the task title or description can be edited. Usage: /task edit <task> title|description <content>","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"服务地址必须是完整 URL。","[{""text"":""服务地址必须是完整 URL。""}]","服务地址需要以 https:// 或 http:// 开头，请填写完整地址。","Enter a complete service address starting with https:// or http://.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"服务地址只支持 HTTP 或 HTTPS。","[{""text"":""服务地址只支持 HTTP 或 HTTPS。""}]","服务地址需要以 https:// 或 http:// 开头，请填写完整地址。","Enter a complete service address starting with https:// or http://.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"服务地址不能包含账号、密码、查询参数或片段。","[{""text"":""服务地址不能包含账号、密码、查询参数或片段。""}]","服务地址不能包含账号、密码或问号、井号后的参数。请将密钥填写在 API Key 输入框中。","The service address cannot contain credentials, query parameters, or a fragment. Enter the key in the API key field.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"模型目录路径必须是站内绝对路径。","[{""text"":""模型目录路径必须是站内绝对路径。""}]","模型目录路径必须以 / 开头，且不能包含 ..、? 或 #，例如 /models。","The model catalog path must start with / and cannot contain .., ?, or #; for example, /models.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"模型列表必须是数组且不能超过 200 项。","[{""text"":""模型列表必须是数组且不能超过 200 项。""}]","一次最多配置 200 个模型，请检查导入的模型列表格式和数量。","Configure up to 200 models at a time. Check the imported model list’s format and size.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"模型配置必须是对象。","[{""text"":""模型配置必须是对象。""}]","模型配置格式无法读取，请在模型供应商设置中重新填写。","The model configuration format cannot be read. Enter it again in model provider settings.","model_settings","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"未找到 Homebrew。请先安装 Homebrew，再重试 Zeus 更新。","[{""text"":""未找到 Homebrew。请先安装 Homebrew，再重试 Zeus 更新。""}]","自动更新需要 Homebrew（macOS 软件安装工具），但本机没有找到它。请安装 Homebrew 后再检查更新。","Automatic updates require Homebrew, a macOS package manager, but it was not found on this Mac. Install Homebrew before checking for updates.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Homebrew 下载完成，但缓存安装包未通过发布清单校验。","[{""text"":""Homebrew 下载完成，但缓存安装包未通过发布清单校验。""}]","下载的更新包不完整或与发布信息不符，Zeus 已停止安装。请重新下载更新。","The downloaded update is incomplete or does not match the release information. Zeus stopped installation. Download the update again.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"已预取的更新包已变化或不完整，请重新下载。","[{""text"":""已预取的更新包已变化或不完整，请重新下载。""}]","下载的更新包不完整或与发布信息不符，Zeus 已停止安装。请重新下载更新。","The downloaded update is incomplete or does not match the release information. Zeus stopped installation. Download the update again.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"当前没有可预取的 Zeus 更新。","[{""text"":""当前没有可预取的 Zeus 更新。""}]","目前没有可下载的 Zeus 更新。","No Zeus update is currently available to download.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"更新状态与当前 Zeus App 版本不一致。","[{""text"":""更新状态与当前 Zeus App 版本不一致。""}]","更新信息与当前 Zeus 版本不一致。请重新检查更新。","The update information does not match this Zeus version. Check for updates again.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"更新安装包与当前 Mac 架构不一致。","[{""text"":""更新安装包与当前 Mac 架构不一致。""}]","此更新包不支持当前 Mac 的处理器，Zeus 已停止安装。请检查是否选择了适合这台 Mac 的版本。","This update does not support this Mac’s processor. Zeus stopped installation. Check that you selected the version for this Mac.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"当前 Zeus 没有目标 Homebrew Cask 管理收据，不能自动接管安装。","[{""text"":""当前 Zeus 没有目标 Homebrew Cask 管理收据，不能自动接管安装。""}]","Homebrew 管理的安装与当前使用的 Zeus 不一致，无法自动更新这份应用。请检查 Zeus 的安装来源和位置。","The installation managed by Homebrew does not match this Zeus app. It cannot be updated automatically. Check the app’s installation source and location.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Homebrew Cask 管理的 Zeus App 不是当前正在使用的日常正式应用。","[{""text"":""Homebrew Cask 管理的 Zeus App 不是当前正在使用的日常正式应用。""}]","Homebrew 管理的安装与当前使用的 Zeus 不一致，无法自动更新这份应用。请检查 Zeus 的安装来源和位置。","The installation managed by Homebrew does not match this Zeus app. It cannot be updated automatically. Check the app’s installation source and location.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Homebrew 安装后的 Zeus App 位置与当前日常正式应用不一致。","[{""text"":""Homebrew 安装后的 Zeus App 位置与当前日常正式应用不一致。""}]","Homebrew 管理的安装与当前使用的 Zeus 不一致，无法自动更新这份应用。请检查 Zeus 的安装来源和位置。","The installation managed by Homebrew does not match this Zeus app. It cannot be updated automatically. Check the app’s installation source and location.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Homebrew Cask 与 Zeus 发布清单不一致，为避免安装错误版本已停止升级。","[{""text"":""Homebrew Cask 与 Zeus 发布清单不一致，为避免安装错误版本已停止升级。""}]","Homebrew 的更新信息与 Zeus 官方发布不一致，安装已停止。请检查安装来源并等待发布信息更新。","Homebrew’s update information does not match the official Zeus release. Installation stopped. Check the installation source and wait for the release information to update.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
